"a"	"b"	"w"	"x1"	"y1"	"x2"	"y2"
"7_2"	"9_7"	0.364775276122804	7	0.697439712778689	9	0.556722821338001
"7_3"	"9_7"	0.462289472799941	7	0.488754996795314	9	0.556722821338001
"7_4"	"9_7"	0.225068345828298	7	0.411200058905975	9	0.556722821338001
"7_5"	"9_7"	0.252414995829821	7	0.239667677804996	9	0.556722821338001
"7_6"	"9_7"	0.478399055120841	7	0.326530681710254	9	0.556722821338001
"7_7"	"9_7"	0.381071440312731	7	0.575618000700573	9	0.556722821338001
"7_1"	"9_8"	0.199879913851793	7	0.654081437124625	9	0.533559353629932
"7_2"	"9_8"	0.18808289573968	7	0.697439712778689	9	0.533559353629932
"7_3"	"9_8"	0.64377461369706	7	0.488754996795314	9	0.533559353629932
"7_4"	"9_8"	0.14172157699534	7	0.411200058905975	9	0.533559353629932
"7_5"	"9_8"	0.159291929828962	7	0.239667677804996	9	0.533559353629932
"7_6"	"9_8"	0.224087862831618	7	0.326530681710254	9	0.533559353629932
"7_7"	"9_8"	0.247888852658919	7	0.575618000700573	9	0.533559353629932
"7_1"	"9_9"	0.281355259910832	7	0.654081437124625	9	0.390527613977531
"7_2"	"9_9"	0.188677022815314	7	0.697439712778689	9	0.390527613977531
"7_3"	"9_9"	0.389628982621847	7	0.488754996795314	9	0.390527613977531
"7_4"	"9_9"	0.259293909568068	7	0.411200058905975	9	0.390527613977531
"7_5"	"9_9"	0.118015050054423	7	0.239667677804996	9	0.390527613977531
"7_6"	"9_9"	0.406101929474892	7	0.326530681710254	9	0.390527613977531
"7_7"	"9_9"	0.140173802418556	7	0.575618000700573	9	0.390527613977531
"9_1"	"11_1"	0.163402226164549	9	0.446696349724674	11	0.582619083410207
"9_2"	"11_1"	0.165353976301406	9	0.789287886981735	11	0.582619083410207
"9_3"	"11_1"	0.175647732457915	9	0.326530681710254	11	0.582619083410207
"9_4"	"11_1"	0.182165937752815	9	0.702424883076477	11	0.582619083410207
"9_5"	"11_1"	0.160425868357699	9	0.239667677804996	11	0.582619083410207
"9_6"	"11_1"	0.21734116275438	9	0.634314327474725	11	0.582619083410207
"9_7"	"11_1"	0.217142027651662	9	0.556722821338001	11	0.582619083410207
"9_8"	"11_1"	0.718112560261161	9	0.533559353629932	11	0.582619083410207
"9_9"	"11_1"	0.195350897405404	9	0.390527613977531	11	0.582619083410207
"9_1"	"11_2"	0.170581419743254	9	0.446696349724674	11	0.83834761676201
"9_2"	"11_2"	0.670357768632069	9	0.789287886981735	11	0.83834761676201
"9_3"	"11_2"	0.149108908508557	9	0.326530681710254	11	0.83834761676201
"9_4"	"11_2"	0.162222856388397	9	0.702424883076477	11	0.83834761676201
"9_5"	"11_2"	0.134784013775117	9	0.239667677804996	11	0.83834761676201
"9_6"	"11_2"	0.178376126703316	9	0.634314327474725	11	0.83834761676201
"9_7"	"11_2"	0.169680682398928	9	0.556722821338001	11	0.83834761676201
"9_8"	"11_2"	0.146534951566086	9	0.533559353629932	11	0.83834761676201
"9_9"	"11_2"	0.171678507681035	9	0.390527613977531	11	0.83834761676201
"9_1"	"11_3"	0.181183582307485	9	0.446696349724674	11	0.439587343757806
"9_2"	"11_3"	0.138700634410247	9	0.789287886981735	11	0.439587343757806
"9_3"	"11_3"	0.210868162446458	9	0.326530681710254	11	0.439587343757806
"9_4"	"11_3"	0.192347657186411	9	0.702424883076477	11	0.439587343757806
"9_5"	"11_3"	0.144819912913943	9	0.239667677804996	11	0.439587343757806
"9_6"	"11_3"	0.158190692689106	9	0.634314327474725	11	0.439587343757806
"9_7"	"11_3"	0.210779626138542	9	0.556722821338001	11	0.439587343757806
"9_8"	"11_3"	0.176994035832343	9	0.533559353629932	11	0.439587343757806
"9_9"	"11_3"	0.727875229148043	9	0.390527613977531	11	0.439587343757806
"9_1"	"11_4"	0.753975456748263	9	0.446696349724674	11	0.495756079504949
